DX_CD,DX_HSDW_SHORT_DESC,DX_HSDW_LONG_DESC
266,"deficiency, b-complex components",deficiency of b-complex components
266.0,ariboflavinosis,ariboflavinosis
266.1,"deficiency, vitamin b6",vitamin b6 deficiency
266.2,"deficiency, b-complex nec",other b-complex deficiencies
266.9,"deficiency, vitamin b nos",unspecified vitamin b deficiency
267,"deficiency, ascorbic acid",ascorbic acid deficiency
268,deficiency vitamin d,vitamin d deficiency
268.0,"rickets, active","rickets, active"
268.1,"rickets, late effect","rickets, late effect"
268.2,osteomalacia nos,"osteomalacia, unspecified"
268.9,"deficiency, vitamin d nos",unspecified vitamin d deficiency
269,"deficiencies, other nutritional",other nutritional deficiencies
269.0,"deficiency, vitamin k",deficiency of vitamin k
269.1,"deficiency, vitamin nec",deficiency of other vitamins
269.2,"deficiency, vitamin nos",unspecified vitamin deficiency
269.3,"deficiency, mineral nec","mineral deficiency, not elsewhere classified"
269.8,"deficiency, nutritional nec",other nutritional deficiency
269.9,"deficiency, nutritional nec",unspecified nutritional deficiency
270,"disorder, amino-acid metabolism",disorders of amino-acid transport and metabolism
270.0,"disturbance, amino-acid transport",disturbances of amino-acid transport
270.1,phenylketonuria,phenylketonuria (pku)
270.2,"dstrb, amino-acid metabolism nec",other disturbances of aromatic amino-acid metabolism
270.3,"dstrb, branched-chain am-ac mtb",disturbances of branched-chain amino-acid metabolism
270.4,"dstrb, sulphur-bearing am-ac mtb",disturbances of sulphur-bearing amino-acid metabolism
270.5,"disturbance, histidine metabolism",disturbances of histidine metabolism
270.6,"disturbance, urea cycle metabolism",disorders of urea cycle metabolism
270.7,"dstrb, straight-chain am-ac mtb",other disturbances of straight-chain amino-acid metabolism
270.8,"disorder, am-ac metabolism nec",other specified disorders of amino-acid metabolism
270.9,"disorder, am-ac metabolism nos",unspecified disorder of amino-acid metabolism
271,"disorder, carbohydrate trnsprt/mtb",disorders of carbohydrate transport and metabolism
271.0,glycogenosis,glycogenosis
271.1,galactosemia,galactosemia
271.2,"intolerance, hereditary fructose",hereditary fructose intolerance
271.3,"deficiency, intestinal disacchardia",intestinal disaccharidase deficiencies and disaccharide malabsorption
271.4,"glycosuria, renal",renal glycosuria
271.8,"dsord, carbohydrate metabolism nec",other specified disorders of carbohydrate transport and metabolism
271.9,"dsord, carbohydrate metabolism nos",unspecified disorder of carbohydrate transport and metabolism
272,"disorders, lipoid metabolism",disorders of lipoid metabolism
272.0,"hypercholesterolemia, pure",pure hypercholesterolemia
272.1,"hyperglyceridemia, pure",pure hyperglyceridemia
272.2,"hyperlipidemia, mixed",mixed hyperlipidemia
272.3,hyperchylomicronemia,hyperchylomicronemia
272.4,hyperlipidemia nec/nos,other and unspecified hyperlipidemia
272.5,"deficiency, lipoprotein",lipoprotein deficiencies
272.6,lipodystrophy,lipodystrophy
272.7,lipidoses,lipidoses
272.8,"disorder, lipoid metabolism nec",other disorders of lipoid metabolism
272.9,"disorder, lipoid metabolism nos",unspecified disorder of lipoid metabolism
273,"disorder, plasma protein metabolism",disorders of plasma protein metabolism
273.0,"hypergammaglobulinemia, polyclonal",polyclonal hypergammaglobulinemia
273.1,"paraproteinemia, monoclonal",monoclonal paraproteinemia
273.2,paraproteinemia nec,other paraproteinemias
273.3,macroglobulinemia,macroglobulinemia
273.4,"deficiency, alpha-1-antitrypsin",alpha-1-antitrypsin deficiency
273.8,"disorder, plasma protein mtb nec",other disorders of plasma protein metabolism
273.9,"disorder, plasma protein mtb nos",unspecified disorder of plasma protein metabolism
274,gout,gout
274.0,gouty arthropathy,gouty arthropathy
274.1,gouty nephropathy,gouty nephropathy
274.10,gouty nephropathy nos,"gouty nephropathy, unspecified"
274.11,"nephrolithiasis, uric acid",uric acid nephrolithiasis
274.19,gouty nephropathy nec,other gouty nephropathy
274.8,gout,gout with other specified manifestations
274.81,"gouty tophi, ear",gouty tophi of ear
274.82,"gouty tophi, site nec","gouty tophi of other sites, except ear"
274.89,gout w/manifestation nec,"gout with other specified manifestations, other"
274.9,gout nos,"gout, unspecified"
275,"disorders, mineral metabolism",disorders of mineral metabolism
275.0,"disorders, iron metabolism",disorders of iron metabolism
275.1,"disorders, copper metabolism",disorders of copper metabolism
275.2,"disorders, magnesium metabolism",disorders of magnesium metabolism
275.3,"disorders, phosphorus metabolism",disorders of phosphorus metabolism
275.4,"disorders, calcium metabolism",disorders of calcium metabolism
275.40,"disorder, calcium metabolism nos",unspecified disorder of calcium metabolism
275.41,hypocalcemia,"disorders of calcium metabolism, hypocalcemia"
275.42,hypercalcemia,"disorders of calcium metabolism, hypercalcemia"
275.49,"disorder, calcium metabolism nec",other disorders of calcium metabolism
275.5,hungry bone syndrome,hungry bone syndrome
275.8,"disorders, mineral metabolism nec",other specified disorders of mineral metabolism
275.9,"disorders, mineral metabolism nos",unspecified disorder of mineral metabolism
276,"dsord, fluid/elctrlyt/acid-base bal","disorders of fluid, electrolyte, and acid-base balance"
276.0,hyperosmolality/hypernatremia,hyperosmolality and/or hypernatremia
276.1,hyposmolality/hyponatremia,hyposmolality and/or hyponatremia
276.2,acidosis,acidosis
276.3,alkalosis,alkalosis
276.4,"disorder, mixed acid-base balance",mixed acid-base balance disorder
276.5,"disorder, volume depletion",volume depletion disorder
276.50,"disorder, volume depletion, nos",volume depletion disorder; unspecified
276.51,"dsord volume depletion, dehydration",volume depletion disorder; dehydration
276.52,"dsord volume depletion, hypovolemia",volume depletion disorder; hypovolemia
276.6,"overload, fluid",fluid overload disorder
276.7,hyperpotassemia,hyperpotassemia
276.8,hypopotassemia,hypopotassemia
276.9,"disorder, electrolyte/fluid nec",electrolyte and fluid disorders not elsewhere classified
277,"disorder, other/unspec metabolism",other and unspecified disorders of metabolism
277.0,cystic fibrosis,cystic fibrosis
277.00,cystic fibrosis w/o meconium ileus,cystic fibrosis without mention of meconium ileus
277.01,cystic fibrosis w/meconium ileus,cystic fibrosis with meconium ileus
277.02,cystic fibrosis w/pulmonary mnfst,cystic fibrosis with pulmonary manifestations
277.03,cystic fibrosis w/gi manifestations,cystic fibrosis with gastrointestinal manifestations
277.09,cystic fibrosis w/other mnfst,cystic fibrosis with other manifestations
277.1,"disorder, porphyrin metabolism",disorders of porphyrin metabolism
277.2,"dsord, purine/pyrimidine mtb nec",other disorders of purine and pyrimidine metabolism
277.3,amyloidosis,amyloidosis
277.30,amyloidosis nos,amyloidosis unspecified
277.31,"fever, familial mediterranean",familial mediterranean fever
277.39,amyloidosis nec,other amyloidosis
277.4,"disorder, bilirubin excretion",disorders of bilirubin excretion
277.5,mucopolysaccharidosis,mucopolysaccharidosis
277.6,"deficiency, circulating enzyme nec",other deficiencies of circulating enzymes
277.7,"disorder, dysmetabolic syndrome x",dysmetabolic syndrome x
277.8,"disorder, metabolism nec",other specified disorders of metabolism
277.81,"deficiency, primary carnitine",other specified disorders of metabolism; primary carnitine deficiency
277.82,dfcny carnitine d/t inbrn mtb error,other specified disorders of metabolism; carnitine deficiency due to inborn errors of metabolism
277.83,"deficiency, iatrogenic carnitine",other specified disorders of metabolism; iatrogenic carnitine deficiency
277.84,"deficiency, secondary carnitine nec",other specified disorders of metabolism; other secondary carnitine deficiency
277.85,"disorder, fatty acid oxidation",other specified disorders of metabolism; disorders of fatty acid oxidation
277.86,"disorder, peroxisomal",other specified disorders of metabolism; peroxisomal disorders
277.87,"disorder, mitochondrial metabolism",other specified disorders of metabolism; disorders of mitochrondrial metabolism
277.89,"disorder, metabolism, other spec",other specified disorders of metabolism; other specified disorders of metabolism
277.9,"disorder, metabolism nos",unspecified disorder of metabolism
278,overweight/obesity/oth hypraliment,"overweight, obesity and other hyperalimentation"
278.0,overweight and obesity,overweight and obesity
278.00,obesity nos,"obesity, unspecified"
278.01,"obesity, morbid",morbid obesity
278.02,overweight,overweight
278.1,"adiposity, localized",localized adiposity
278.2,hypervitaminosis a,hypervitaminosis a
278.3,hypercarotinemia,hypercarotinemia
278.4,hypervitaminosis d,hypervitaminosis d
278.8,hyperalimentation nec,other hyperalimentation
279,disorders of the immune mechanism,disorders involving the immune mechanism
279.0,"deficiency, humoral immunity",deficiency of humoral immunity
279.00,hypogammaglobulinemia nos,"hypogammaglobulinemia, unspecified"
279.01,"immunodeficiency, selective iga",selective iga immunodeficiency
279.02,"immunodeficiency, selective igm",selective igm immunodeficiency
279.03,"deficiency, selective ig nec",other selective immunoglobulin deficiencies
279.04,"hypogammaglobulinemia, congenital",congenital hypogammaglobulinemia
279.05,immunodeficiency w/increased igm,immunodeficiency with increased igm
279.06,"immunodeficiency, common variable",common variable immunodeficiency
279.09,"deficiency, humoral immunity nec",other deficiency of humoral immunity
279.1,"deficiency, cell-mediated immune",deficiency of cell-mediated immunity
279.10,"immunodeficiency, t-cell defect nos","immunodeficiency with predominant t-cell defect, unspecified"
279.11,digeorge's syndrome,digeorge's syndrome
279.12,wiskott-aldrich syndrome,wiskott-aldrich syndrome
279.13,nezelof's syndrome,nezelof's syndrome
279.19,"immunity, cell-mediated nec",other deficiency of cell-mediated immunity
279.2,"deficiency, combined immunity",combined immunity deficiency
279.3,"deficiency, immunity nos",unspecified immunity deficiency
279.4,"disease, autoimmune nec","autoimmune disease, not elsewhere classified"
279.5,graft-versus-host disease,graft-versus-host disease
279.50,"graft-versus-host disease, unspec","graft-versus-host disease, unspecified"
279.51,acute graft-versus-host disease,acute graft-versus-host disease
279.52,chronic graft-versus-host disease,chronic graft-versus-host disease
279.53,acute on chronic grft-vs-host dis,acute on chronic graft-versus-host disease
279.8,"disorder, immune mechanism nec",other specified disorders involving the immune mechanism
279.9,"disorder, immune mechanism nos",unspecified disorder of immune mechanism
280,"anemias, iron deficiency",iron deficiency anemias
280.0,anemia d/t chronic blood loss,iron deficiency anemia secondary to blood loss (chronic)
280.1,anemia d/t dietary iron deficiency,iron deficiency anemia secondary to inadequate dietary iron intake
280.8,"anemia, iron deficiency nec",other specified iron deficiency anemias
280.9,"anemia, iron deficiency nos","iron deficiency anemia, unspecified"
281,"anemia, other deficiency",other deficiency anemias
281.0,"anemia, pernicious",pernicious anemia
281.1,"anemia, vit b12 deficiency nec",other vitamin b12 deficiency anemia
281.2,"anemia, folate-deficiency",folate-deficiency anemia
281.3,"anemia, megaloblastic nec",other specified megaloblastic anemias not elsewhere classified
281.4,"anemia, protein-deficiency",protein-deficiency anemia
281.8,"anemia, nutritional nec",anemia associated with other specified nutritional deficiency
281.9,"anemia, deficiency nos",unspecified deficiency anemia
282,"anemias, hereditary hemolytic",hereditary hemolytic anemias
282.0,"spherocytosis, hereditary",hereditary spherocytosis
282.1,"elliptocytosis, hereditary",hereditary elliptocytosis
282.2,anemia d/t glutathione mtb disorder,anemias due to disorders of glutathione metabolism
282.3,anemia d/t enzyme deficiency,other hemolytic anemias due to enzyme deficiency
282.4,thalassemias,thalassemias
282.41,sickle-cell thalassemia w/o crisis,sickle-cell thalassemia without crisis
282.42,sickle-cell thalassemia w/crisis,sickle-cell thalassemia with crisis
282.49,thalassemia nec,other thalassemia
282.5,sickle-cell trait,sickle-cell trait
282.6,"disease, sickle-cell",sickle-cell disease
282.60,"disease, sickle-cell nos","sickle-cell disease, unspecified"
282.61,"dis, sickle-cell, hb-ss w/o crisis",hb-ss disease without crisis
282.62,"dis, sickle-cell, hb-ss w/crisis",hb-ss disease with crisis
282.63,"dis, sickle-cell, hb-c w/o crisis",sickle-cell/hb-c disease without crisis
282.64,"dis, sickle-cell, hb-c w/crisis",sickle-cell/hb-c disease with crisis
282.68,"dis, sickle-cell w/o crisis nec",other sickle-cell disease without crisis
282.69,"dis, sickle-cell w/crisis nec",other sickle-cell disease with crisis
282.7,hemoglobinopathies nec,other hemoglobinopathies
282.8,"anemia, hereditary hemolytic nec",other specified hereditary hemolytic anemias
282.9,"anemia, hereditary hemolytic nos","hereditary hemolytic anemia, unspecified"
283,"anemias, acquired hemolytic",acquired hemolytic anemias
283.0,"anemias, autoimmune hemolytic",autoimmune hemolytic anemias
283.1,"anemias, non-autoimmune hemolytic",non-autoimmune hemolytic anemias
283.10,"anemias, non-autoimmune hmolyt nos","non-autoimmune hemolytic anemia, unspecified"
283.11,"syndrome, hemolytic-uremic",hemolytic uremic syndrome
283.19,"anemia, non-autoimmune hmolyt nec",other non-autoimmune hemolytic anemias
283.2,"hemoglobinuria, hemolytic",hemoglobinuria due to hemolysis from external causes
283.9,"anemia, acquired hemolytic nos","acquired hemolytic anemia, unspecified"
284,"anemia, aplastic & oth bone mrw flr",aplastic anemia and other bone marrow failure syndromes
284.0,"anemia, constitutional aplastic",constitutional aplastic anemia
284.01,aplasia constitutional red bld cell,constitutional red blood cell aplasia
284.09,"anemia, constitutional aplastic nec",other constitutional aplastic anemia
284.1,pancytopenia,pancytopenia
284.2,myelophthisis,myelophthisis
284.8,"anemia, aplastic nec",other specified aplastic anemias
284.81,"red cell aplasia, acquired, adult",red cell aplasia (acquired)(adult)(with thymoma)
284.89,other specified aplastic anemias,other specified aplastic anemias
284.9,"anemia, aplastic nos","aplastic anemia, unspecified"
285,"anemia, other & unspecified",other and unspecified anemias
285.0,"anemia, sideroblastic",sideroblastic anemia
285.1,"anemia, acute posthemorrhagic",acute posthemorrhagic anemia
285.2,"anemia, chronic disease",anemia of chronic disease
285.21,"anemia, chronic kidney disease",anemia in chronic kidney disease
285.22,"anemia, neoplastic disease",anemia in neoplastic disease
285.29,"anemia, chronic disease nec",anemia of other chronic disease
285.8,anemia nec,other specified anemias
285.9,anemia nos,"anemia, unspecified"
286,"defects, coagulation",coagulation defects
286.0,"disorder, congenital factor viii",congenital factor viii disorder
286.1,"disorder, congenital factor ix",congenital factor ix disorder
286.2,"deficiency, congenital factor xi",congenital factor xi deficiency
286.3,"deficiency, cngn clotg factor nec",congenital deficiency of other clotting factors
286.4,von willebrand's disease,von willebrand's disease
286.5,dsord hem d/t circul intsc anticoag,hemorrhagic disorder due to intrinsic circulating anticoagulants
286.6,"syndrome, defibrination",defibrination syndrome
286.7,"dfncy, acquired coagulation factor",acquired coagulation factor deficiency
286.9,"defect, coagulation nec/nos",other and unspecified coagulation defects
287,purpura and hemorrhagic conditions,purpura and other hemorrhagic conditions
287.0,allergic purpura,allergic purpura
287.1,thrombocytopathy,qualitative platelet defects
287.2,purpura nos,other nonthrombocytopenic purpuras
287.3,"thrombocytopenia, primary",primary thrombocytopenia
287.30,"thrombocytopenia, primary nos","primary thrombocytopenia, unspecified"
287.31,"thrombocytopenic purpura, immune",immune thrombocytopenic purpura
287.32,"syndrome, evans'",evans' syndrome
287.33,thrombocytopenic purpura cngn/herdt,congenital and hereditary thrombocytopenic purpura
287.39,"thrombocytopenia, primary nec","primary thrombocytopenia, other"
287.4,"thrombocytopenia, secondary",secondary thrombocytopenia
287.5,thrombocytopenia nos,"thrombocytopenia, unspecified"
287.8,hemorrhagic condition nec,other specified hemorrhagic conditions
287.9,hemorrhagic condition nos,unspecified hemorrhagic conditions
288,diseases of white blood cells,diseases of white blood cells
288.0,neutropenia,neutropenia
288.00,neutropenia nos,"neutropenia, unspecified"
288.01,"neutropenia, congenital",congenital neutropenia
288.02,"neutropenia, cyclic",cyclic neutropenia
288.03,"neutropenia, drug induced",drug induced neutropenia
288.04,"neutropenia, due to infection",neutropenia due to infection
288.09,neutropenia nec,other neutropenia
288.1,"dsord, fnctl, polymorph neutrophils",functional disorders of polymorphonuclear neutrophils
288.2,"anomalies, genetic, leukocytes",genetic anomalies of leukocytes
288.3,eosinophilia,eosinophilia
288.4,"syndrome, hemophagocytic",hemophagocytic syndromes
288.5,decreased white blood cell count,decreased white blood cell count
288.50,leukocytopenia nos,"leukocytopenia, unspecified"
288.51,lymphocytopenia,lymphocytopenia
288.59,decreased white bld cell count nos,other decreased white blood cell count
288.6,elevated white blood cell count,elevated white blood cell count
288.60,leukocytosis nos,"leukocytosis, unspecified"
288.61,lymphocytosis,lymphocytosis (symptomatic)
288.62,leukemoid reaction,leukemoid reaction
288.63,monocytosis,monocytosis (symptomatic)
288.64,plasmacytosis,plasmacytosis
288.65,basophilia,basophilia
288.66,bandemia,bandemia
288.69,elevated white blood cell count nec,other elevated white blood cell count
288.8,"disease, white blood cell nec",other specified disease of white blood cells
288.9,"disease, white blood cell nos",unspecified disease of white blood cells
289,"dis, oth, blood and blood forming",other diseases of blood and blood-forming organs
289.0,"polycythemia, secondary","polycythemia, secondary"
289.1,"lymphadenitis, chronic",chronic lymphadenitis
289.2,"lymphadenitis, mesenteric",nonspecific mesenteric lymphadenitis
289.3,lymphadenitis nos,"lymphadenitis, unspecified, except mesenteric"
289.4,hypersplenism,hypersplenism
289.5,"diseases, other of spleen",other diseases of spleen
289.50,"disease, spleen nos","disease of spleen, unspecified"
289.51,"splenomegaly, chronic congestive",chronic congestive splenomegaly
289.52,splenic sequestration,"other diseases of spleen, splenic sequestration"
289.53,neutropenic splenomegaly,neutropenic splenomegaly
289.59,"disease, spleen nec","other diseases of spleen, other"
289.6,"polycythemia, familial",familial polycythemia
289.7,methemoglobinemia,methemoglobinemia
289.8,"disease, blood nec",other specified diseases of blood and blood-forming organs
289.81,"hypercoagulable state, primary",other specified diseases of blood and blood-forming organs; primary hypercoagulable state
289.82,"hypercoagulable state, secondary",other specified diseases of blood and blood-forming organs; secondary hypercoagulable state
289.83,myelofibrosis,other specified diseases of blood and blood-forming organs; myelofibrosis
289.84,heparin-induced thrombocytopenia,heparin-induced thrombocytopenia (hit)
289.89,"dis, blood/blood-forming organ nec",other specified diseases of blood and blood-forming organs
289.9,"disease, blood nos",unspecified diseases of blood and blood-forming organs
290,dementias,dementias
290.0,"dementia, senile, uncomplicated","senile dementia, uncomplicated"
290.1,"dementia, presenile",presenile dementia
290.10,"dementia, presenile, uncomplicated","presenile dementia, uncomplicated"
290.11,"dementia, presenile w/delirium",presenile dementia with delirium
290.12,"dementia, presenile w/delusions",presenile dementia with delusional features
290.13,"dementia, presenile w/depression",presenile dementia with depressive features
290.2,"dementia, senile w/dlusin or dprsn",senile dementia with delusional or depressive features
290.20,"dementia, senile w/delusions",senile dementia with delusional features
290.21,"dementia, senile w/depression",senile dementia with depressive features
290.3,"dementia, senile w/delirium",senile dementia with delirium
290.4,"dementia, vascular",vascular dementia
290.40,"dementia, vascular uncomplicated","vascular dementia, uncomplicated"
290.41,"dementia, vascular w/delirium",vascular dementia with delirium
290.42,"dementia, vascular w/delusions",vascular dementia with delusions
290.43,"dementia, vascular w/dprsd mood",vascular dementia with depressed mood
290.8,"psychosis, senile nec",other specified senile psychotic conditions
290.9,"psychosis, senile nos",unspecified senile psychotic condition
291,"dsord mental, alcohol-induced",alcohol-induced mental disorders
291.0,"delirium, alcohol withdrawal",alcohol withdrawal delirium
291.1,dsord persisting alc-ind amnestic,alcohol-induced persisting amnestic disorder
291.2,"dementia, persisting alc-ind",alcohol-induced persisting dementia
291.3,dsord alc-ind psychotic w/hlucnt,alcohol-induced psychotic disorder with hallucinations
291.4,"alcohol intoxication, idiosyncratic",idiosyncratic alcohol intoxication
291.5,disord alc-ind psychotic w/delusion,alcoholic-induced psychotic disorder with delusions
291.8,dsord other spec alc-ind mental,other specified alcohol-induced mental disorders
291.81,"withdrawal, alcoholic",alcohol withdrawal
291.82,"disorder, sleep, alcohol induced",alcohol-induced sleep disorders
291.89,dsord oth spec alc-ind mental nec,"other specified alcohol-induced mental disorders, other"
291.9,"dsord mental, alcohol-induced nos",unspecified alcohol-induced mental disorders
292,"disorder, mental, drug-induced",drug-induced mental disorders
292.0,"withdrawal, drug",drug withdrawal
292.1,"disorder, psychotic, drug-induced",drug-induced psychotic disorder
292.11,"dsord psycht, drug-ind w/delusion",drug-induced psychotic disorder with delusions
292.12,"dsord psycht, drug-ind w/hlucnt",drug-induced psychotic disorder with hallucinations
292.2,"intoxication, pathological drug",pathological drug intoxication
292.8,"dsord, oth spec drug-induced mental",other specified drug-induced mental disorders
292.81,"dsord psycht,  drug-ind w/delusion",drug-induced delirium
292.82,"dementia, persisting, drug-induced",drug-induced persisting dementia
292.83,"disorder, prsist amnestic, drug-ind",drug-induced persisting amnestic disorder
292.84,"disorder, mood, drug-induced",drug-induced mood disorder
292.85,"disorder, sleep, drug induced",drug-induced sleep disorders
292.89,"dsord, oth spec drug-ind mntl nec",other specified drug-induced mental disorders
292.9,"disorder, drug-induced mental nos",unspecified drug-induced mental disorder
293,"dsord, transient mental d/t cce",transient mental disorders due to conditions classified elsewhere
293.0,"delirium, d/t cce",delirium due to conditions classified elsewhere
293.1,"delirium, subacute",subacute delirium
293.8,"dsord, oth spec trnsnt mntl d/t cce",other specified transient mental disorders due to conditions classified elsewhere
293.81,"dsord psycht, w/delusion in cce",psychotic disorder with delusions in conditions classified elsewhere
293.82,"dsord psycht, w/hlucnt in cce",psychotic disorder with hallucinations in conditions classified elsewhere
293.83,"disorder, mood in cce",mood disorder in conditions classified elsewhere
293.84,"disorder, anxiety in cce",anxiety disorder in conditions classified elsewhere
293.89,"dsord, oth spec trnsnt mntl cce nec",other specified transient mental disorders due to conditions classified elsewhere
293.9,"dsord, transient mental in cce nos",unspecified transient mental disorder in conditions classified elsewhere
294,"dsord, persistent mental d/t cce",persistent mental disorders due to conditions classified elsewhere
294.0,"disorder, amnestic in cce",amnestic disorder in conditions classified elsewhere
294.1,dementia in cce,dementia in conditions classified elsewhere
294.10,"dementia, cce, w/o bhvr dsturb",dementia in conditions classified elsewhere without behavioral disturbance
294.11,"dementia, cce, w/bhvr dsturb",dementia in conditions classified elsewhere with behavioral disturbance
294.8,dsord persistent mental d/t cce nec,other persistent mental disorders due to conditions classified elsewhere
294.9,dsord persistent mental d/t cce nos,unspecified persistent mental disorders due to conditions classified elsewhere
295,"disorders, schizophrenic",schizophrenic disorders
295.0,"schizophrenia, simple",simple type schizophrenia
295.00,"schizophrenia, simple, unspecified","simple type schizophrenia, unspecified state"
295.01,"schizophrenia, simple, subchronic","simple type schizophrenia, subchronic state"
295.02,"schizophrenia, simple, chronic","simple type schizophrenia, chronic state"
295.03,"schizo, smpl sbchrn w/acute exacrb","simple type schizophrenia, subchronic state with acute exacerbation"
295.04,"schizo, smpl chrn w/acute exacrb","simple type schizophrenia, chronic state with acute exacerbation"
295.05,"schizophrenia, simple, in remission","simple type schizophrenia, in remission"
295.1,"schizophrenia, disorganized",disorganized type schizophrenia
295.10,"schizophrenia, disorganized, unspc","disorganized type schizophrenia, unspecified state"
295.11,"schizophrenia, dsorgn, subchronic","disorganized type schizophrenia, subchronic state"
295.12,"schizophrenia, dsorgn, chronic","disorganized type schizophrenia, chronic state"
295.13,"schizo, dsorgn, sbchrn acute exacrb","disorganized type schizophrenia, subchronic state with acute exacerbation"
295.14,"schizo, dsorgn, chrn w/acute exacrb","disorganized type schizophrenia, chronic state with acute exacerbation"
295.15,"schizophrenia, dsorgn, in remission","disorganized type schizophrenia, in remission"
295.2,"schizophrenia, catatonic",catatonic type schizophrenia
295.20,"schizophrenia, catatonic, unspc","catatonic type schizophrenia, unspecified state"
295.21,"schizo, catatonic, subchronic","catatonic type schizophrenia, subchronic state"
295.22,"schizo, catatonic, chronic","catatonic type schizophrenia, chronic state"
295.23,schizo ctatnc sbchrn w/acute exacrb,"catatonic type schizophrenia, subchronic state with acute exacerbation"
295.24,schizo ctatnc chrn w/acute exacrb,"catatonic type schizophrenia, chronic state with acute exacerbation"
295.25,"schizo, catatonic, in remission","catatonic type schizophrenia, in remission"
295.3,"schizophrenia, paranoid",paranoid type schizophrenia
295.30,"schizophrenia, paranoid, unspc","paranoid type schizophrenia, unspecified state"
295.31,"schizo, paranoid, subchronic","paranoid type schizophrenia, subchronic state"
295.32,"schizo, paranoid, chronic","paranoid type schizophrenia, chronic state"
295.33,schizo prnoid sbchrn w/acute exacrb,"paranoid type schizophrenia, subchronic state with acute exacerbation"
295.34,schizo prnoid chrn w/acute exacrb,"paranoid type schizophrenia, chronic state with acute exacerbation"
295.35,"schizo, paranoid, in remission","paranoid type schizophrenia, in remission"
295.4,"disorder, schizophreniform",schizophreniform disorder
295.40,"disorder, schizophreniform nos","schizophreniform disorder, unspecified state"
295.41,"disorder, schizo, subchronic","schizophreniform disorder, subchronic state"
295.42,"disorder, schizophreniform, chronic","schizophreniform disorder, chronic state"
295.43,"disorder schizo, sbchrn w/exacrb","schizophreniform disorder, subchronic state with acute exacerbation"
295.44,"disorder, schizo,chrn w/exacrb","schizophreniform disorder, chronic state with acute exacerbation"
295.45,"disorder, schizo, in remission","schizophreniform disorder, in remission"
295.5,"schizophrenia, latent",latent schizophrenia
295.50,"schizophrenia, latent, unspecified","latent schizophrenia, unspecified state"
295.51,"schizophrenia, latent, subchronic","latent schizophrenia, subchronic state"
295.52,"schizophrenia, latent, chronic","latent schizophrenia, chronic state"
295.53,schizo latent sbchrn w/acute exacrb,"latent schizophrenia, subchronic state with acute exacerbation"
295.54,schizo latent chrn w/acute exacrb,"latent schizophrenia, chronic state with acute exacerbation"
295.55,"schizo, latent, in remission","latent schizophrenia, in remission"
295.6,"disorder, schizo, residual type","schizophrenic disorders, residual type"
295.60,"disorder, schizo, residual type nos","schizophrenic disorders, residual type, unspecified state"
295.61,"dsord, schizo, resid type, subchrn","schizophrenic disorders, residual type, subchronic state"
295.62,"dsord, schizo, resid type, chronic","schizophrenic disorders, residual type, chronic state"
295.63,"dsord, schiz resid sbchrn w/ac exac","schizophrenic disorders, residual type, subchronic state with acute exacerbation"
295.64,"dsord, schiz resid chrn w/ac exacrb","schizophrenic disorders, residual type, chronic state with acute exacerbation"
295.65,"dsord, resid type, latent in rmis","schizophrenic disorders, residual type, in remission"
295.7,"disorder, schizoaffective",schizoaffective disorder
295.70,"disorder, schizoaffective, unspc","schizoaffective disorder, unspecified state"
295.71,"disorder, schizoaffective, sbchrn","schizoaffective disorder, subchronic state"
295.72,"disorder, schizoaffective, chronic","schizoaffective disorder, chronic state"
295.73,"schizo-afctv, sbchrn w/acute exacrb","schizoaffective disorder, subchronic state with acute exacerbation"
295.74,"schizo-afctv, chrn w/acute exacrb","schizoaffective disorder, chronic state with acute exacerbation"
295.75,"schizo, schizo-afctv, in remission","schizoaffective disorder, in remission"
295.8,"schizophrenia, other",other specified types of schizophrenia
295.80,"schizophrenia nec, unspecified","other specified types of schizophrenia, unspecified state"
295.81,"schizophrenia nec, subchronic","other specified types of schizophrenia, subchronic state"
295.82,"schizophrenia nec, chronic","other specified types of schizophrenia, chronic state"
295.83,"schizo nec, sbchrn w/acute exacrb","other specified types of schizophrenia, subchronic state with acute exacerbation"
295.84,"schizo nec, chronic w/acute exacrb","other specified types of schizophrenia, chronic state with acute exacerbation"
295.85,"schizophrenia nec, in remission","other specified types of schizophrenia, in remission"
295.9,schizophrenia nos,unspecified schizophrenia
295.90,"schizophrenia nos, unspecified","unspecified type schizophrenia, unspecified state"
295.91,"schizophrenia nos, subchronic","unspecified type schizophrenia, subchronic state"
295.92,"schizophrenia nos, chronic","unspecified type schizophrenia, chronic state"
295.93,"schizo nos, sbchrn w/acute exacrb","unspecified type schizophrenia, subchronic state with acute exacerbation"
295.94,"schizo nos, chronic w/acute exacrb","unspecified type schizophrenia, chronic state with acute exacerbation"
295.95,"schizophrenia nos, in remission","unspecified type schizophrenia, in remission"
296,"disorder, episodic mood",episodic mood disorders
296.0,dsord bipolar i sngl manic epsd,"bipolar i disorder, single manic episode"
296.00,dsord bipolar i sngl manic epsd nos,"bipolar i disorder, most recent episode (or current) manic, unspecified degree"
296.01,"dsord bplr i sngl manic epsd, mild","bipolar i disorder, most recent episode (or current) manic, mild degree"
296.02,"dsord bplr i sngl manic epsd, mod","bipolar i disorder, most recent episode (or current) manic, moderate degree"
296.03,dsord bplr i sngl manic epsd severe,"bipolar i disorder, most recent episode (or current) manic severe degree, without mention of psychotic behavior"
