PX_CD,PX_HSDW_SHORT_DESC,PX_HSDW_LONG_DESC
1003F,level of activity assess,level of activity assessed (hf)
10040,acne surgery,"acne surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)"
1004F,clin symp vol ovrld assess,clinical symptoms of volume overload (excess) assessed (hf)
1005F,asthma symptoms evaluate,asthma symptoms evaluated (includes physician documentation of numeric frequency of symptoms or patient completion of an asthma assessment tool/survey/questionnaire) (asthma)
10060,drainage of skin abscess,"incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single"
10061,drainage of skin abscess,"incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple"
1006F,osteoarthritis assess,"osteoarthritis symptoms and functional status assessed (may include the use of a standardized scale or the completion of an assessment questionnaire, such as the sf-36, aaos hip & knee questionnaire) (oa) [instructions:  report when osteoarthritis is addressed during the patient encounter]"
1007F,anti-inflm/anlgsc otc assess,use of anti-inflammatory or analgesic over-the-counter (otc) medications for symptom relief assessed (oa)
10080,drainage of pilonidal cyst,incision and drainage of pilonidal cyst; simple
10081,drainage of pilonidal cyst,incision and drainage of pilonidal cyst; complicated
1008F,gi/renal risk assess,gastrointestinal and renal risk factors assessed for patients on prescribed or otc non-steroidal anti-inflammatory drug (nsaid) (oa)
10120,remove foreign body,"incision and removal of foreign body, subcutaneous tissues; simple"
10121,remove foreign body,"incision and removal of foreign body, subcutaneous tissues; complicated"
10140,drainage of hematoma/fluid,"incision and drainage of hematoma, seroma or fluid collection"
1015F,copd symptoms assess,"chronic obstructive pulmonary disease (copd) symptoms assessed (includes assessment of at least 1 of the following:  dyspnea, cough/sputum, wheezing), or respiratory symptom assessment tool completed (copd)"
10160,puncture drainage of lesion,"puncture aspiration of abscess, hematoma, bulla, or cyst"
10180,"complex drainage, wound","incision and drainage, complex, postoperative wound infection"
1018F,assess dyspnea not present,"dyspnea assessed, not present (copd)"
1019F,assess dyspnea present,"dyspnea assessed, present (copd)"
1022F,pneumo imm status assess,"pneumococcus immunization status assessed (cap, copd)"
1026F,co-morbid condition assess,"co-morbid conditions assessed (eg, includes assessment for presence or absence of:  malignancy, liver disease, congestive heart failure, cerebrovascular disease, renal disease, chronic obstructive pulmonary disease, asthma, diabetes, other co-morbid conditions) (cap)"
1030F,influenza imm status assess,influenza immunization status assessed (cap)
1034F,current tobacco smoker,"current tobacco smoker (cad, cap, copd, pv) (dm)"
1035F,smokeless tobacco user,"current smokeless tobacco user (eg, chew, snuff) (pv)"
1036F,tobacco non-user,"current tobacco non-user (cad, cap, copd, pv) (dm)"
1038F,persistent asthma,"persistent asthma (mild, moderate or severe) (asthma)"
1039F,intermittent asthma,intermittent asthma  (asthma)
1040F,dsm-iv(tm) info mdd doc'd,dsm-iv(tm) criteria for major depressive disorder documented at the initial evaluation (mdd)
1050F,history of mole changes,history obtained regarding new or changing moles (ml)
1055F,visual funct status assess,visual functional status assessed (ec)
1060F,doc perm/cont/parox atr. fib,documentation of permanent or persistent or paroxysmal atrial fibrillation (str)
1061F,doc lack perm+cont+parox fib,documentation of absence of permanent and persistent and paroxysmal atrial fibrillation (str)
1065F,ischm stroke symp lt3 hrsb/4,ischemic stroke symptom onset of less than 3 hours prior to arrival (str)
1066F,ischm stroke symp ge3 hrsb/4,ischemic stroke symptom onset greater than or equal to 3 hours prior to arrival (str)
1070F,alarm symp assessed-absent,"alarm symptoms (involuntary weight loss, dysphagia, or gastrointestinal bleeding) assessed; none present (gerd)"
1071F,alarm symp assessed-1+ prsnt,"alarm symptoms (involuntary weight loss, dysphagia, or gastrointestinal bleeding) assessed; 1 or more present (gerd)"
1080F,decis mkr/advncd plan doc'd,surrogate decision maker or advance care plan documented in the medical record (ger)5
1090F,pres/absn urine incon assess,presence or absence of urinary incontinence assessed (ger)
1091F,urine incon characterized,"urinary incontinence characterized (eg frequency, volume, timing, type of symptoms, how bothersome) (ger)"
11,operation on cornea,operations on the eye; operations on cornea
11.0,corneal fb magnetic removal,operations on the eye; operations on cornea; magnetic removal of embedded foreign body from cornea
11.1,corneal incision,operations on the eye; operations on cornea; incision of cornea
11.2,diagnostic procedures on cornea,operations on the eye; operations on cornea; diagnostic procedures on cornea
11.21,corneal scraping for smear/culture,operations on the eye; operations on cornea; diagnostic procedures on cornea; scraping of cornea for smear or culture
11.22,corneal biopsy,operations on the eye; operations on cornea; diagnostic procedures on cornea; biopsy of cornea
11.29,corneal diagnostic procedure nec,operations on the eye; operations on cornea; diagnostic procedures on cornea; other diagnostic procedures on cornea
11.3,excision of pterygium,operations on the eye; operations on cornea; excision of pterygium
11.31,transposition of pterygium,operations on the eye; operations on cornea; excision of pterygium; transposition of pterygium
11.32,"pterygium excision, w/corneal graft",operations on the eye; operations on cornea; excision of pterygium; excision of pterygium with corneal graft
11.39,excision of pterygium nec,operations on the eye; operations on cornea; excision of pterygium; other excision of pterygium
11.4,excision of corneal tissue,operations on the eye; operations on cornea; excision or destruction of tissue or other lesion of cornea
11.41,"mech removal, corneal epithelium",operations on the eye; operations on cornea; excision or destruction of tissue or other lesion of cornea; mechanical removal of corneal epithelium
11.42,corneal lesion thermocauterization,operations on the eye; operations on cornea; excision or destruction of tissue or other lesion of cornea; thermocauterization of corneal lesion
11.43,cryotherapy of corneal lesion,operations on the eye; operations on cornea; excision or destruction of tissue or other lesion of cornea; cryotherapy of corneal lesion
11.49,corneal lesion destruction nec,operations on the eye; operations on cornea; excision or destruction of tissue or other lesion of cornea; other removal or destruction of corneal lesion
11.5,repair of cornea,operations on the eye; operations on cornea; repair of cornea
11.51,suture of corneal laceration,operations on the eye; operations on cornea; repair of cornea; suture of corneal laceration
11.52,repair corneal postop dehiscence,operations on the eye; operations on cornea; repair of cornea; repair of postoperative wound dehiscence of cornea
11.53,repair corneal lacer w/conj flap,operations on the eye; operations on cornea; repair of cornea; repair of corneal laceration or wound with conjunctival flap
11.59,corneal repair nec,operations on the eye; operations on cornea; repair of cornea; other repair of cornea
11.6,corneal transplant,operations on the eye; operations on cornea; corneal transplant
11.60,corneal transplant nos,"operations on the eye; operations on cornea; corneal transplant; corneal transplant, not otherwise specified"
11.61,lamellar keratoplasty w/autograft,operations on the eye; operations on cornea; corneal transplant; lamellar keratoplasty with autograft
11.62,lamellar keratoplasty nec,operations on the eye; operations on cornea; corneal transplant; other lamellar keratoplasty
11.63,"penetrat keratoplasty, w/autograft",operations on the eye; operations on cornea; corneal transplant; penetrating keratoplasty with autograft
11.64,penetrating keratoplasty nec,operations on the eye; operations on cornea; corneal transplant; other penetrating keratoplasty
11.69,corneal transplant nec,operations on the eye; operations on cornea; corneal transplant; other corneal transplant
11.7,reconstructive/refractive surgery,operations on the eye; operations on cornea; other reconstructive and refractive surgery on cornea
11.71,keratomileusis,operations on the eye; operations on cornea; other reconstructive and refractive surgery on cornea; keratomileusis
11.72,keratophakia,operations on the eye; operations on cornea; other reconstructive and refractive surgery on cornea; keratophakia
11.73,keratoprosthesis,operations on the eye; operations on cornea; other reconstructive and refractive surgery on cornea; keratoprosthesis
11.74,thermokeratoplasty,operations on the eye; operations on cornea; other reconstructive and refractive surgery on cornea; thermokeratoplasty
11.75,radial keratotomy,operations on the eye; operations on cornea; other reconstructive and refractive surgery on cornea; radial keratotomy
11.76,epikeratophakia,operations on the eye; operations on cornea; other reconstructive and refractive surgery on cornea; epikeratophakia
11.79,corneal reconstruction nec,operations on the eye; operations on cornea; other reconstructive and refractive surgery on cornea; other
11.9,operation on cornea,operations on the eye; operations on cornea; other operations on cornea
11.91,corneal tattooing,operations on the eye; operations on cornea; other operations on cornea; tattooing of cornea
11.92,corneal implant removal,operations on the eye; operations on cornea; other operations on cornea; removal of artificial implant from cornea
11.99,corneal operation nec,operations on the eye; operations on cornea; other operations on cornea; other
11000,debride infected skin,debridement of extensive eczematous or infected skin; up to 10% of body surface
11001,debride infected skin add-on,"debridement of extensive eczematous or infected skin; each additional 10% of the body surface, or part thereof (list separately in addition to code for primary procedure)"
11004,debride genitalia & perineum,"debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia and perineum"
11005,debride abdom wall,"debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; abdominal wall, with or without fascial closure"
11006,debride genit/per/abdom wall,"debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia, perineum and abdominal wall, with or without fascial closure"
11008,remove mesh from abd wall,"removal of prosthetic material or mesh, abdominal wall for infection (eg, for chronic or recurrent mesh infection or necrotizing soft tissue infection) (list separately in addition to code for primary procedure)"
1100F,ptfalls assess-doc'd ge2+/yr,patient screened for future fall risk; documentation of two or more falls in the past year or any fall with injury in the past year (ger)
11010,"debride skin, fx",debridement including removal of foreign material associated with open fracture(s) and/or dislocation(s); skin and subcutaneous tissues
11011,"debride skin/muscle, fx","debridement including removal of foreign material associated with open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, and muscle"
11012,"debride skin/muscle/bone, fx","debridement including removal of foreign material associated with open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, muscle, and bone"
1101F,pt falls assess-doc'd le1/yr,patient screened for future fall risk; documentation of no falls in the past year or only one fall without injury in the past year (ger)
11040,"debride skin, partial","debridement; skin, partial thickness"
11041,"debride skin, full","debridement; skin, full thickness"
11042,debride skin/tissue,"debridement; skin, and subcutaneous tissue"
11043,debride tissue/muscle,"debridement; skin, subcutaneous tissue, and muscle"
11044,debride tissue/muscle/bone,"debridement; skin, subcutaneous tissue, muscle, and bone"
11050,trim benign skin lesion,"paring or curettement of benign hyperkeratotic skin lesion with or without chemical cauterization (such as verrucae or clavi) not extending through the stratum corneum (eg, callus or wart) with or without local anesthesia; single lesion"
11051,trim 2 - 4 benign skin lesions,"paring or curettement of benign hyperkeratotic skin lesion with or without chemical cauterization (such as verrucae or clavi) not extending through the stratum corneum (eg, callus or wart) with or without local anesthesia; two to four lesions"
11052,trim 5+ benign skin lesions,"paring or curettement of benign hyperkeratotic skin lesion with or without chemical cauterization (such as verrucae or clavi) not extending through the stratum corneum (eg, callus or wart) with or without local anesthesia; more than four lesions"
11055,trim skin lesion,"paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion"
11056,"trim skin lesions, 2 to 4","paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); 2 to 4 lesions"
11057,"trim skin lesions, over 4","paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); more than 4 lesions"
11100,"biopsy, skin lesion","biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion"
11101,"biopsy, skin add-on","biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; each separate/additional lesion (list separately in addition to code for primary procedure)"
1110F,pt lft inpt fac w/in 60 days,"patient discharged from an inpatient facility (eg hospital, skilled nursing facility, or rehabilitation facility) within the last 60 days (ger)"
1111F,dschrg med/current med merge,"discharge medications reconciled with the current medication list in outpatient medical record (coa, ger)"
1116F,auric/peri pain assessed,auricular or periauricular pain assessed (aoe)
1118F,gerd symps assessed 12 month,gerd symptoms assessed after 12 months of therapy (gerd)
1119F,init. eval for condition,initial evaluation for condition (hep c)
11200,removal of skin tags,"removal of skin tags, multiple fibrocutaneous tags, any area; up to and including 15 lesions"
11201,remove skin tags add-on,"removal of skin tags, multiple fibrocutaneous tags, any area; each additional 10 lesions, or part thereof (list separately in addition to code for primary procedure)"
1121F,subs. eval for condition,subsequent evaluation for condition (hep c)
1123F,acp discuss/dscn mkr doc'd,"advance care planning discussed and documented; advance care plan or surrogate decision maker documented in the medical record (ger, pall cr)"
1124F,acp discuss-no dscnmkr doc'd,"advance care planning discussed and documented in the medical record; patient did not wish or was not able to name a surrogate decision maker or provide an advance care plan (ger, pall cr)"
1125F,amnt pain noted; pain prsnt,"pain severity quantified; pain present (coa, onc)"
1126F,amnt pain noted; none prsnt,"pain severity quantified; no pain present (coa, onc)"
1127F,new episode for condition,new episode for condition (ml)
1128F,subs. episode for condition,subsequent episode for condition (ml)
11300,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less"
11301,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.6 to 1.0 cm"
11302,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 1.1 to 2.0 cm"
11303,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter over 2.0 cm"
11305,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less"
11306,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm"
11307,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm"
11308,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter over 2.0 cm"
1130F,bk pain + fxn assessed,"back pain and function assessed, including all of the following: pain assessment and functional status and patient history, including notation of presence or absence of 'red flags' (warning signs) and assessment of prior treatment and response, and employment status (bkp)"
11310,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less"
11311,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm"
11312,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm"
11313,shave skin lesion,"shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 2.0 cm"
1134F,epsd bk pain for =< 6 wks,episode of back pain lasting 6 weeks or less (bkp)
1135F,epsd bk pain for > 6 wks,episode of back pain lasting longer than 6 weeks (bkp)
1136F,epsd bk pain for <= 12 wks,episode of back pain lasting 12 weeks or less (bkp)
1137F,epsd bk pain for > 12 wks,episode of back pain lasting longer than 12 weeks (bkp)
11400,exc tr-ext b9+marg 0.5 < cm,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.5 cm or less"
11401,exc tr-ext b9+marg 0.6-1 cm,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 0.6 to 1.0 cm"
11402,exc tr-ext b9+marg 1.1-2 cm,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 1.1 to 2.0 cm"
11403,exc tr-ext b9+marg 2.1-3 cm,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 2.1 to 3.0 cm"
11404,exc tr-ext b9+marg 3.1-4 cm,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm"
11406,exc tr-ext b9+marg > 4.0 cm,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm"
11420,exc h-f-nk-sp b9+marg 0.5 <,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
11421,exc h-f-nk-sp b9+marg 0.6-1,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm"
11422,exc h-f-nk-sp b9+marg 1.1-2,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm"
11423,exc h-f-nk-sp b9+marg 2.1-3,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
11424,exc h-f-nk-sp b9+marg 3.1-4,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
11426,exc h-f-nk-sp b9+marg > 4 cm,"excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
11440,exc face-mm b9+marg 0.5 < cm,"excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.5 cm or less"
11441,exc face-mm b9+marg 0.6-1 cm,"excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.6 to 1.0 cm"
11442,exc face-mm b9+marg 1.1-2 cm,"excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 1.1 to 2.0 cm"
11443,exc face-mm b9+marg 2.1-3 cm,"excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 2.1 to 3.0 cm"
11444,exc face-mm b9+marg 3.1-4 cm,"excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 3.1 to 4.0 cm"
11446,exc face-mm b9+marg > 4 cm,"excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter over 4.0 cm"
11450,"removal, sweat gland lesion","excision of skin and subcutaneous tissue for hidradenitis, axillary; with simple or intermediate repair"
11451,"removal, sweat gland lesion","excision of skin and subcutaneous tissue for hidradenitis, axillary; with complex repair"
11462,"removal, sweat gland lesion","excision of skin and subcutaneous tissue for hidradenitis, inguinal; with simple or intermediate repair"
11463,"removal, sweat gland lesion","excision of skin and subcutaneous tissue for hidradenitis, inguinal; with complex repair"
11470,"removal, sweat gland lesion","excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with simple or intermediate repair"
11471,"removal, sweat gland lesion","excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with complex repair"
1150F,doc pt rsk death w/in 1yr,documentation that a patient has a substantial risk of death within one year (pall cr)
1151F,doc no pt rsk death w/in 1yr,documentation that a patient does not have a substantial risk of death within one year (pall cr)
1152F,doc advncd dis comfort 1st,"documentation of advanced disease diagnosis, goals of care prioritize comfort (pall cr)"
1153F,doc advncd dis cmfrt not 1st,"documentation of advanced disease diagnosis, goals of care do not prioritize comfort (pall cr)"
1157F,advnc care plan in rcrd,advance care plan or similar legal document present in the medical record (coa)
1158F,advnc care plan tlk docd,advance care planning discussion documented in the medical record (coa)
1159F,med list docd in rcrd,medication list documented in medical record (coa)
11600,exc tr-ext mlg+marg 0.5 < cm,"excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.5 cm or less"
11601,exc tr-ext mlg+marg 0.6-1 cm,"excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 0.6 to 1.0 cm"
11602,exc tr-ext mlg+marg 1.1-2 cm,"excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 1.1 to 2.0 cm"
11603,exc tr-ext mlg+marg 2.1-3 cm,"excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 2.1 to 3.0 cm"
11604,exc tr-ext mlg+marg 3.1-4 cm,"excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 3.1 to 4.0 cm"
11606,exc tr-ext mlg+marg > 4 cm,"excision, malignant lesion including margins, trunk, arms, or legs; excised diameter over 4.0 cm"
1160F,rvw meds by rx/dr in rcrd,"review of all medications by a prescribing practitioner or clinical pharmacist (such as, prescriptions, otcs, herbal therapies and supplements) documented in the medical record (coa)"
11620,exc h-f-nk-sp mlg+marg 0.5 <,"excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less"
11621,exc h-f-nk-sp mlg+marg 0.6-1,"excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm"
11622,exc h-f-nk-sp mlg+marg 1.1-2,"excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm"
11623,exc h-f-nk-sp mlg+marg 2.1-3,"excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
11624,exc h-f-nk-sp mlg+marg 3.1-4,"excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
11626,exc h-f-nk-sp mlg+mar > 4 cm,"excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
11640,exc face-mm malig+marg 0.5 <,"excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.5 cm or less"
11641,exc face-mm malig+marg 0.6-1,"excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 0.6 to 1.0 cm"
11642,exc face-mm malig+marg 1.1-2,"excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 1.1 to 2.0 cm"
11643,exc face-mm malig+marg 2.1-3,"excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm"
11644,exc face-mm malig+marg 3.1-4,"excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 3.1 to 4.0 cm"
11646,exc face-mm mlg+marg > 4 cm,"excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter over 4.0 cm"
11700,"scraping of 1-5 nails, manual","debridement of nails, manual; five or less"
11701,"scraping of add'l nails, manual","debridement of nails, manual; each additional five or less"
1170F,fxnl status assessed,functional status assessed (coa) (ra)
11710,"scraping of 1-5 nails, grinder","debridement of nails, electric grinder; five or less"
11711,"scraping of add'l nails, grinder","debridement of nails, electric grinder; each additional, five or less"
11719,trim nail(s),"trimming of nondystrophic nails, any number"
11720,"debride nail, 1-5",debridement of nail(s) by any method(s); 1 to 5
11721,"debride nail, 6 or more",debridement of nail(s) by any method(s); 6 or more
11730,removal of nail plate,"avulsion of nail plate, partial or complete, simple; single"
11731,removal of second nail plate,"avulsion of nail plate, partial or complete, simple; second nail plate"
11732,"remove nail plate, add-on","avulsion of nail plate, partial or complete, simple; each additional nail plate (list separately in addition to code for primary procedure)"
11740,drain blood from under nail,evacuation of subungual hematoma
11750,removal of nail bed,"excision of nail and nail matrix, partial or complete, (eg, ingrown or deformed nail) for permanent removal;"
11752,remove nail bed/finger tip,"excision of nail and nail matrix, partial or complete, (eg, ingrown or deformed nail) for permanent removal; with amputation of tuft of distal phalanx"
11755,"biopsy, nail unit","biopsy of nail unit (eg, plate, bed, matrix, hyponychium, proximal and lateral nail folds) (separate procedure)"
11760,repair of nail bed,repair of nail bed
11762,reconstruction of nail bed,reconstruction of nail bed with graft
11765,"excision of nail fold, toe","wedge excision of skin of nail fold (eg, for ingrown toenail)"
11770,removal of pilonidal lesion,excision of pilonidal cyst or sinus; simple
11771,removal of pilonidal lesion,excision of pilonidal cyst or sinus; extensive
11772,removal of pilonidal lesion,excision of pilonidal cyst or sinus; complicated
1180F,thromboemb risk assessed,all specified thromboembolic risk factors assessed (afib)
11900,injection into skin lesions,"injection, intralesional; up to and including 7 lesions"
11901,added skin lesions injection,"injection, intralesional; more than 7 lesions"
11920,correct skin color defects,"tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.0 sq cm or less"
11921,correct skin color defects,"tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; 6.1 to 20.0 sq cm"
11922,correct skin color defects,"tattooing, intradermal introduction of insoluble opaque pigments to correct color defects of skin, including micropigmentation; each additional 20.0 sq cm, or part thereof (list separately in addition to code for primary procedure)"
11950,therapy for contour defects,"subcutaneous injection of filling material (eg, collagen); 1 cc or less"
11951,therapy for contour defects,"subcutaneous injection of filling material (eg, collagen); 1.1 to 5.0 cc"
11952,therapy for contour defects,"subcutaneous injection of filling material (eg, collagen); 5.1 to 10.0 cc"
11954,therapy for contour defects,"subcutaneous injection of filling material (eg, collagen); over 10.0 cc"
11960,insert tissue expander(s),"insertion of tissue expander(s) for other than breast, including subsequent expansion"
11970,replace tissue expander,replacement of tissue expander with permanent prosthesis
11971,remove tissue expander(s),removal of tissue expander(s) without insertion of prosthesis
11975,insert contraceptive cap,"insertion, implantable contraceptive capsules"
11976,removal of contraceptive cap,"removal, implantable contraceptive capsules"
11977,removal/reinsert contra cap,"removal with reinsertion, implantable contraceptive capsules"
11980,implant hormone pellet(s),subcutaneous hormone pellet implantation (implantation of estradiol and/or testosterone pellets beneath the skin)
11981,insert drug implant device,"insertion, non-biodegradable drug delivery implant"
11982,remove drug implant device,"removal, non-biodegradable drug delivery implant"
11983,remove/insert drug implant,"removal with reinsertion, non-biodegradable drug delivery implant"
12,iris/ciliary body/sclera operation,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber"
12.0,removal of intraocular foreign body,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; removal of intraocular foreign body from anterior segment of eye"
12.00,remove anterior segment fb nos,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; removal of intraocular foreign body from anterior segment of eye; removal of intraocular foreign body from anterior segment of eye, not otherwise specified"
12.01,magnet removal anterior segment fb,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; removal of intraocular foreign body from anterior segment of eye; removal of intraocular foreign body from anterior segment of eye with use of magnet"
12.02,nonmag removal anterior segment fb,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; removal of intraocular foreign body from anterior segment of eye; removal of intraocular foreign body from anterior segment of eye without use of magnet"
12.1,iridotomy and simple iridectomy,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridotomy and simple iridectomy"
12.11,iridotomy w/transfixion,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridotomy and simple iridectomy; iridotomy with transfixion"
12.12,iridotomy nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridotomy and simple iridectomy; other iridotomy"
12.13,prolapsed iris excision,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridotomy and simple iridectomy; excision of prolapsed iris"
12.14,iridectomy nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridotomy and simple iridectomy; other iridectomy"
12.2,iris/ciliary body/ sclera diag proc,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; diagnostic procedures on iris, ciliary body, sclera, and anterior chamber"
12.21,diag aspiration anter eye chamber,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; diagnostic procedures on iris, ciliary body, sclera, and anterior chamber; diagnostic aspiration of anterior chamber of eye"
12.22,iris biopsy,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; diagnostic procedures on iris, ciliary body, sclera, and anterior chamber; biopsy of iris"
12.29,anter segment diagnostic proc nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; diagnostic procedures on iris, ciliary body, sclera, and anterior chamber; other diagnostic procedures on iris, ciliary body, sclera, and anterior chamber"
12.3,iridoplasty and coreoplasty,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridoplasty and coreoplasty"
12.31,goniosynechiae lysis,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridoplasty and coreoplasty; lysis of goniosynechiae"
12.32,anterior synechiae lysis nec,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridoplasty and coreoplasty; lysis of other anterior synechiae"
12.33,posterior synechiae lysis,"operations on the eye; operations on iris, ciliary body, sclera, and anterior chamber; iridoplasty and coreoplasty; lysis of posterior synechiae"
